date,NewCases
"2021-06-06 00:00:00",324077
"2021-06-07 00:00:00",323079
"2021-06-08 00:00:00",370029
"2021-06-09 00:00:00",419060
"2021-06-10 00:00:00",452863
"2021-06-11 00:00:00",422160
"2021-06-12 00:00:00",367929
"2021-06-13 00:00:00",302712
"2021-06-14 00:00:00",310228
"2021-06-15 00:00:00",377888
"2021-06-16 00:00:00",389876
"2021-06-17 00:00:00",394997
"2021-06-18 00:00:00",403500
"2021-06-19 00:00:00",345320
"2021-06-20 00:00:00",302888
"2021-06-21 00:00:00",299934
"2021-06-22 00:00:00",408254
"2021-06-23 00:00:00",399970
"2021-06-24 00:00:00",407947
"2021-06-25 00:00:00",417731
"2021-06-26 00:00:00",362727
"2021-06-27 00:00:00",309835
"2021-06-28 00:00:00",332370
"2021-06-29 00:00:00",380713
"2021-06-30 00:00:00",400308
"2021-07-01 00:00:00",436953
"2021-07-02 00:00:00",439679
"2021-07-03 00:00:00",376064
"2021-07-04 00:00:00",326274
"2021-07-05 00:00:00",374875
"2021-07-06 00:00:00",452281
"2021-07-07 00:00:00",463600
"2021-07-08 00:00:00",480778
"2021-07-09 00:00:00",508239
"2021-07-10 00:00:00",423036
"2021-07-11 00:00:00",368939
"2021-07-12 00:00:00",438330
"2021-07-13 00:00:00",523533
"2021-07-14 00:00:00",539830
"2021-07-15 00:00:00",573739
"2021-07-16 00:00:00",595612
"2021-07-17 00:00:00",489190
"2021-07-18 00:00:00",413860
"2021-07-19 00:00:00",497284
"2021-07-20 00:00:00",533503
"2021-07-21 00:00:00",560134
"2021-07-22 00:00:00",563323
"2021-07-23 00:00:00",727494
"2021-07-24 00:00:00",430421
"2021-07-25 00:00:00",445924
"2021-07-26 00:00:00",541381
"2021-07-27 00:00:00",612420
"2021-07-28 00:00:00",643347
"2021-07-29 00:00:00",651910
"2021-07-30 00:00:00",729774
"2021-07-31 00:00:00",509235
"2021-08-01 00:00:00",482054
"2021-08-02 00:00:00",579341
"2021-08-03 00:00:00",637592
"2021-08-04 00:00:00",675227
"2021-08-05 00:00:00",688369
"2021-08-06 00:00:00",822331
"2021-08-07 00:00:00",549820
"2021-08-08 00:00:00",443035
"2021-08-09 00:00:00",653455
"2021-08-10 00:00:00",649228
"2021-08-11 00:00:00",731527
"2021-08-12 00:00:00",706666
"2021-08-13 00:00:00",804778
"2021-08-14 00:00:00",534501
"2021-08-15 00:00:00",466111
"2021-08-16 00:00:00",677672
"2021-08-17 00:00:00",684475
"2021-08-18 00:00:00",726705
"2021-08-19 00:00:00",715365
"2021-08-20 00:00:00",790463
"2021-08-21 00:00:00",540526
"2021-08-22 00:00:00",448676
"2021-08-23 00:00:00",701026
"2021-08-24 00:00:00",687871
"2021-08-25 00:00:00",729644
"2021-08-26 00:00:00",735595
"2021-08-27 00:00:00",746148
"2021-08-28 00:00:00",549695
"2021-08-29 00:00:00",447865
"2021-08-30 00:00:00",681599
"2021-08-31 00:00:00",621447
"2021-09-01 00:00:00",725747
"2021-09-02 00:00:00",677762
"2021-09-03 00:00:00",716157
"2021-09-04 00:00:00",487960
"2021-09-05 00:00:00",443192
"2021-09-06 00:00:00",444067
"2021-09-07 00:00:00",714192
"2021-09-08 00:00:00",632112
"2021-09-09 00:00:00",639557
"2021-09-10 00:00:00",634494
"2021-09-11 00:00:00",460437
"2021-09-12 00:00:00",368606
"2021-09-13 00:00:00",595761
"2021-09-14 00:00:00",551532
"2021-09-15 00:00:00",566459
"2021-09-16 00:00:00",577595
"2021-09-17 00:00:00",617679
"2021-09-18 00:00:00",390751
"2021-09-19 00:00:00",363243
"2021-09-20 00:00:00",528993
"2021-09-21 00:00:00",485133
"2021-09-22 00:00:00",534286
"2021-09-23 00:00:00",512026
"2021-09-24 00:00:00",546811
"2021-09-25 00:00:00",368493
"2021-09-26 00:00:00",350079
"2021-09-27 00:00:00",462858
"2021-09-28 00:00:00",450952
"2021-09-29 00:00:00",501929
"2021-09-30 00:00:00",479189
"2021-10-01 00:00:00",538901
"2021-10-02 00:00:00",348073
"2021-10-03 00:00:00",307747
"2021-10-04 00:00:00",441928
"2021-10-05 00:00:00",421793
"2021-10-06 00:00:00",513613
"2021-10-07 00:00:00",431868
"2021-10-08 00:00:00",474837
"2021-10-09 00:00:00",333004
"2021-10-10 00:00:00",316128
"2021-10-11 00:00:00",378246
"2021-10-12 00:00:00",433311
"2021-10-13 00:00:00",463860
"2021-10-14 00:00:00",445509
"2021-10-15 00:00:00",456135
"2021-10-16 00:00:00",337528
"2021-10-17 00:00:00",314553
"2021-10-18 00:00:00",414074
"2021-10-19 00:00:00",442418
"2021-10-20 00:00:00",471304
"2021-10-21 00:00:00",457112
"2021-10-22 00:00:00",484545
"2021-10-23 00:00:00",361749
"2021-10-24 00:00:00",315210
"2021-10-25 00:00:00",430983
"2021-10-26 00:00:00",442687
"2021-10-27 00:00:00",512421
"2021-10-28 00:00:00",457497
"2021-10-29 00:00:00",505528
"2021-10-30 00:00:00",382222
"2021-10-31 00:00:00",320930
"2021-11-01 00:00:00",422210
"2021-11-02 00:00:00",429009
"2021-11-03 00:00:00",522859
"2021-11-04 00:00:00",527682
"2021-11-05 00:00:00",515010
"2021-11-06 00:00:00",414900
"2021-11-07 00:00:00",347312
"2021-11-08 00:00:00",478020
"2021-11-09 00:00:00",483978
"2021-11-10 00:00:00",577135
"2021-11-11 00:00:00",517995
"2021-11-12 00:00:00",593049
"2021-11-13 00:00:00",424978
"2021-11-14 00:00:00",352681
"2021-11-15 00:00:00",542626
"2021-11-16 00:00:00",523752
"2021-11-17 00:00:00",626328
"2021-11-18 00:00:00",613981
"2021-11-19 00:00:00",614751
"2021-11-20 00:00:00",478404
"2021-11-21 00:00:00",397450
"2021-11-22 00:00:00",623498
"2021-11-23 00:00:00",591450
"2021-11-24 00:00:00",671391
"2021-11-25 00:00:00",598363
"2021-11-26 00:00:00",594432
"2021-11-27 00:00:00",450670
"2021-11-28 00:00:00",406719
"2021-11-29 00:00:00",663041
"2021-11-30 00:00:00",625654
"2021-12-01 00:00:00",707738
"2021-12-02 00:00:00",700369
"2021-12-03 00:00:00",714003
"2021-12-04 00:00:00",507993
"2021-12-05 00:00:00",438762
"2021-12-06 00:00:00",592696
"2021-12-07 00:00:00",692553
"2021-12-08 00:00:00",672777
"2021-12-09 00:00:00",727935
"2021-12-10 00:00:00",697123
"2021-12-11 00:00:00",495002
"2021-12-12 00:00:00",436095
"2021-12-13 00:00:00",627960
"2021-12-14 00:00:00",661734
"2021-12-15 00:00:00",738693
"2021-12-16 00:00:00",741177
"2021-12-17 00:00:00",728405
"2021-12-18 00:00:00",575055
"2021-12-19 00:00:00",477332
"2021-12-20 00:00:00",752341
"2021-12-21 00:00:00",789784
"2021-12-22 00:00:00",900818
"2021-12-23 00:00:00",982453
"2021-12-24 00:00:00",834103
"2021-12-25 00:00:00",512541
"2021-12-26 00:00:00",472215
"2021-12-27 00:00:00",1490304
"2021-12-28 00:00:00",1313713
"2021-12-29 00:00:00",1730636
"2021-12-30 00:00:00",1949468
